Phonemic,Katakana,PartOfSpeech
[kḁ⸢ka⸣ruŋ],カカルン,自動
[kḁ⸢ka⸣ruŋ],カカルン,自動
[kḁ⸢ka⸣ruŋ],カカルン,自動
[kḁ⸢ka⸣ruŋ],カカルン,自動
[kḁ⸢ka⸣ruŋ],カカルン,自動
[kḁ⸢ka⸣ruŋ],カカルン,自動
[kḁ⸢ka⸣ruŋ],カカルン,自動
[ga⸢ka⸣ruŋ],ガカルン,自動
[kḁ⸢ka⸣runsaːru],カカルンサール,名
[kḁ⸢ka⸣runsaːruːŋ],カカルンサールーン,名
[kḁ⸢ka⸣reː ⸢toːritoː⸣ri],カカレートーリトーリ,副
[ka⸢ka⸣reːtoːreː],カカレートーレー,副
[ka⸢kaŋ],カカン,名
[kḁ⸢ki],カキ,名
[kḁ⸢ki],カキ,名
[kḁ⸢ki],カキ,名
[kḁ⸢ki],カキ,名
[kḁ⸢ki],カキ,助数
[⸣kagi],カギ,名
[ka⸢ki⸣ai],カキアイ,名
[ka⸢ki⸣ai],カキアイ,名
[ka⸢ki⸣auŋ],カキアウン,自動
[ka⸢ki⸣auŋ],カキアウン,他動
[kḁ⸢kiaʦami⸣ruŋ],カキアツァミルン,他動
[kḁ⸢kiaʦa⸣muŋ],カキアツァムン,他動
[kḁ⸢kiʔiri⸣ruŋ],カキイリルン,他動
[kḁ⸢kiʔiri⸣ruŋ],カキイリルン,他動
[kḁ⸢ki⸣iruŋ],カキイルン,他動
[kḁ⸢kiʔuta⸣suŋ],カキウタスン,他動
[kḁ⸢kiuʦa⸣suŋ],カキウツァスン,他動
[ka⸢gikata⸣ʧi],カギカタチ,名
[kḁ⸢kigu⸣tu],カキグトゥ,名
[kḁ⸢ki⸣kumuŋ],カキクムン,他動
[kḁ⸢ki⸣ʣaː],カキザー,名
[ga⸢ki⸣ʣaː],ガキザー,名
[kḁ⸢kiʣa⸣suŋ],カキザスン,他動
[kḁ⸢kiʣa⸣suŋ],カキザスン,他動
[kḁ⸢ki⸣ʣaŋ],カキザン,名
[kḁ⸢ki⸣su̥kuŋ],カキシゥクン,自動
[kḁ⸢kiʃi̥ki⸣ruŋ],カキシキルン,自動
[kḁ⸢ki⸣ʤiku],カキジク,名
[kḁ⸢kiʃi̥ti⸣ruŋ],カキシティルン,他動
[ka⸢gi⸣ʤiŋ],カギジン,名
[kḁ⸢kisui⸣ruŋ],カキスイルン,他動
[⸣kḁkisoːʤi],カキソージ,名
[kḁ⸢kik⸣kunaː],カキックナー,名
[kḁ⸢kik⸣kumuŋ],カキックムン,自動
[kḁ⸢kikkeːra⸣suŋ],カキッケーラスン,他動
[kḁ⸢kitʦaː⸣ʃi ⸣paruŋ],カキッツァーシパルン,連
[kḁ⸢kitʦaː⸣suŋ],カキッツァースン,自動
[kḁ⸢kitʦaː⸣suŋ],カキッツァースン,他動
[kḁ⸢kitʦaː⸣suŋ],カキッツァースン,自動
[kḁ⸢kitumi⸣ruŋ],カキトゥミルン,他動
[kḁ⸢ki⸣tumuŋ],カキトゥムン,他動
[kḁ⸢ki⸣naː],カキナー,名
[kḁ⸢kina⸣kuŋ],カキナクン,他動
[kḁ⸢kinu⸣ miː],カキヌミー,連
[ka⸢gi⸣buʃi],カギブシ,名
[kḁ⸢kimaː⸣suŋ],カキマースン,他動
[kḁ⸢ki⸣mai],カキマイ,名
[kḁ⸢kimakaru],カキマカル,名
[kḁ⸢kimakaru],カキマカル,名
[kḁ⸢kimaʣaː⸣suŋ],カキマザースン,他動
[kḁ⸢ki⸣mujeː],カキムエー,名
[kḁ⸢ki⸣munu],カキムヌ,名
[kḁ⸢ki⸣munu],カキムヌ,名
[kḁ⸢kimunu],カキムヌ,名
[kḁ⸢ki⸣munu],カキムヌ,名
[kḁ⸢ki⸣jaː],カキヤー,名
[kḁ⸢kijuː⸣suŋ],カキユースン,自動
[ga⸢giraː],ガギラー,名
[ga⸢girimunu],ガギリムヌ,名
[kḁ⸢ki⸣ruŋ],カキルン,他動
[kḁ⸢ki⸣ruŋ],カキルン,他動
[kḁ⸢ki⸣ruŋ],カキルン,他動
[kḁ⸢ki⸣ruŋ],カキルン,他動
[kḁ⸢ki⸣ruŋ],カキルン,他動
[kḁ⸢kiruŋ],カキルン,自動
[kḁ⸢ki⸣ruŋ],カキルン,他動
[ka⸢giruŋ],カギルン,自動
[ga⸢giruŋ],ガギルン,自動
[⸣kagiŋ],カギン,名
[⸣kagiŋ],カギン,名
[kḁ⸢kiŋ⸣gu],カキング,名
[kḁ⸢kiʔnʣa⸣suŋ],カキンザスン,他動
[kḁ⸢ku],カク,名
[kḁ⸢ku],カク,名
[kḁ⸢ku],カク,名
[kḁ⸢ku],カク,名
[ka⸢gu],カグ,名
[ka⸢gu],カグ,名
[ka⸢gu],カグ,名
[ga⸢kugakuː],ガクーガクー,名
[kḁ⸢kuːŋ],カクーン,他動
[kḁ⸢kui],カクイ,名
[kḁ⸢kuiruŋ],カクイルン,他動
[kḁ⸢kuʔuʧi],カクウチ,名
[ga⸢kugaku⸣ʃi],ガクガクシ,副
[kḁ⸢kugani],カクガニ,名
[kḁ⸢kugiri],カクギリ,名
[kḁku⸣gu],カクグ,名
[kḁ⸢kuʣai],カクザイ,名
[kḁ⸢kuʃi⸣gutu],カクシグトゥ,名
[kḁ⸢kusi⸣ffa],カクシッふァ,名
[kḁ⸢kuʃi⸣ ɸu̥⸢ka⸣suŋ],カクシフカスン,連
[kḁ⸢kuʃimaː⸣ʃi],カクシマーシ,名
[kḁ⸢kuʃi⸣munu],カクシムヌ,名
[kḁ⸢ku⸣ʃijukuʃi],カクシユクシ,名
[kḁ⸢kuʤiŋ],カクジン,名
[kḁ⸢ku⸣suŋ],カクスン,他動
[kḁ⸢ku⸣ʧi],カクチ,名
[kḁ⸢ku⸣ʧi ⸢ʔaːsuŋ],カクチアースン,連
[kḁ⸢ku⸣ʧi ⸢koː⸣ruŋkeŋ],カクチコールンケン,連
[kḁ⸢ku⸣ʧi ⸢kop⸣paruŋ],カクチコッパルン,連
[kḁ⸢kuʧi⸣nu ja⸢goːmuŋ⸣keŋ],カクチヌヤゴームンケン,連
[kḁ⸢ku⸣ʧi ba⸢ruŋ],カクチバルン,連
[kḁ⸢ku⸣ʧi ⸢ɸuikkaː⸣suŋ],カクチフイッカースン,連
[kḁ⸢kut⸣ʦaː],カクッツァー,名
[kḁ⸢kutuːru],カクトゥール,名
[kḁ⸢kubaraː],カクバラー,名
[kḁ⸢kubiʧi],カクビチ,名
[kḁ⸢kuɸukubi],カクフクビ,名
[ga⸢kuburi],ガクブリ,名
[kḁ⸢kumaːsuŋ],カクマースン,他動
[kḁ⸢kumuŋ],カクムン,他動
[ga⸢ku⸣muŋ],ガクムン,名
[kḁ⸢kuraː⸣ki],カクラーキ,名
[⸣kḁkuraŋ],カクラン,名
[kḁ⸢kuri⸣tuʤi],カクリトゥジ,名
[kḁ⸢kuri⸣butu],カクリブトゥ,名
[kḁ⸢kuri⸣ruŋ],カクリルン,自動
[kḁ⸢ku⸣ruŋ],カクルン,自動
[⸣kḁkuŋ],カクン,他動
[⸣kḁkuŋ],カクン,他動
[⸣kḁkuŋ],カクン,他動
[⸣kḁkuŋ],カクン,他動
[⸣kḁkuŋ],カクン,他動
[⸣kḁkuŋ],カクン,他動
[⸣kḁkuŋ],カクン,他動
[⸣kakuŋ],カクン,他動
[ka⸢guŋ],カグン,自動
[⸣gakuŋ],ガクン,他動
[kḁ⸢keː⸣ʃimukeːʃi],カケーシムケーシ,副
[kḁ⸢keː⸣ʃimukeːʃi],カケーシムケーシ,副
[kḁ⸢keː⸣suŋ],カケースン,他動
[ka⸢keː⸣ma],カケーマ,名
[⸣kḁkoː],カコー,名
[⸢kakoː],カコー,名
[⸢kakoː],カコー,名
[⸣kḁsa],カサ,名
[⸣kḁsa],カサ,名
[⸣kḁsa],カサ,名
[⸣kḁsa],カサ,名
[⸣kaʣa],カザ,名
[ka⸢ʣa],カザ,名
[ka⸢ʣa],カザ,名
[kḁsaː⸢kasa],カサーカサ,副
[ka⸢ʣa⸣ ɸu̥⸢kuroːɸu̥kuroː⸣ʃi],カザーフクローフクローシ,連
[kḁ⸢saikiː],カサイキー,名
[⸣kḁsa kḁ⸢kari⸣munu],カサカカリムヌ,連
[ga⸢saga⸣saː],ガサガサー,名
[ka⸢ʣaku],カザク,名
[ka⸢ʣakeː],カザケー,名
[ka⸢ʣakeːnu⸣ ku⸢nioʣaːteː],カザケーヌクニオザーテー,連
[ka⸢ʣakeːnu⸣ maʦoʣaːteː],カザケーヌマツォザーテー,連
[ka⸢ʣa suŋ],カザスン,連
[ka⸢ʣa suŋ],カザスン,連
[ka⸢ʣadakaː⸣ŋ],カザダカーン,形
[ka⸢sa⸣nai],カサナイ,名
[kḁ⸢sanairuŋ],カサナイルン,他動
[kḁ⸢sanai⸣ruŋ],カサナイルン,他動
[ka⸢sa⸣nauŋ],カサナウン,他動
[kḁ⸢sanauŋ],カサナウン,他動
[ka⸢sanaruŋ],カサナルン,自動
[kḁ⸢sanigasani],カサニガサニ,副
[kḁ⸢saniruŋ],カサニルン,他動
[⸣kḁsanuːru],カサヌール,名
[kḁ⸢sabaruŋ],カサバルン,自動
[kḁ⸢sabi],カサビ,助数
[kḁ⸢sabinu⸣pana],カサビヌパナ,名
[kḁ⸢sabiruŋ],カサビルン,他動
[⸣gaʣaɸu̥keː],ガザフケー,名
[kḁ⸢saɸu̥ta],カサフタ,名
[kḁ⸢saɸu̥⸣ta ⸣kabuŋ],カサフタカブン,連
[kḁ⸢sabuŋ],カサブン,他動
[kḁ⸢sama⸣sa ⸢suŋ],カサマサスン,連
[kḁ⸢sama⸣saŋ],カサマサン,形
[ga⸢sa⸣mi],ガサミ,名
[ka⸢ʣami⸣gutu],カザミグトゥ,名
[ka⸢ʣamiɸu̥ka⸣suŋ],カザミフカスン,他動
[kḁ⸢samiruŋ],カサミルン,他動
[ka⸢ʣami⸣ruŋ],カザミルン,他動
[kḁ⸢samuŋ],カサムン,他動
[kḁ⸢samuŋ],カサムン,他動
[kḁ⸢samuŋ],カサムン,他動
[kḁ⸢samuŋ],カサムン,自動
[kḁ⸢samuŋ],カサムン,他動
[ka⸢ʣa⸣muŋ],カザムン,他動
[ka⸢ʣa⸣muŋ],カザムン,他動
[ga⸢sa⸣meː],ガサメー,名
[ga⸢saragasara],ガサラガサラ,副
[ka⸢ʣari],カザリ,名
[ka⸢ʣarikabi],カザリカビ,名
[ka⸢ʣarikubiŋ],カザリクビン,名
[ka⸢ʣarikoːʃi],カザリコーシ,名
[ka⸢ʣariʣau],カザリザウ,名
[ka⸢ʣarifuʧi],カザリフチ,名
[ka⸢ʣarimuʧi],カザリムチ,名
[ka⸢ʣarimunu],カザリムヌ,名
[ga⸢ʣa⸣riŋ],ガザリン,連
[ka⸢ʣaruŋ],カザルン,他動
[ka⸢ʣaruŋ],カザルン,他動
[⸣gaʣaŋ],ガザン,名
[ka⸢ʣaŋgamai],カザンガマイ,名
[ga⸢ʣan⸣nu na⸢kuŋ⸣kḁtaʧini],ガザンヌナクンカタチニ,連
[kḁ⸢sam⸣paː],カサンパー,名
[kḁ⸢sam⸣paːʔiʣu],カサンパーイズ,名
[kḁ⸢sam⸣paːʔuki],カサンパーウキ,名
[kḁ⸢sam⸣paːɸu̥ta],カサンパーフタ,名
[kḁ⸢sam⸣paːmuʧi],カサンパームチ,名
[⸣kaʃi],カシ,名
[⸣kḁʃi],カシ,名
[⸣kḁʃi],カシ,名
[⸣kḁʃi],カシ,名
[ka⸢ʤi],カジ,名
[⸣kaʤi],カジ,名
[ka⸢ʤi],カジ,名
[ka⸢ʤi],カジ,名
[⸣kaʤi],カジ,名
[ga⸢ʃi],ガシ,名
[⸣kḁʃiː],カシー,名
[kḁ⸢ʃiːkaʃi],カシーカシ,副
[⸣kḁʃiː ⸢ʃiːpu̥su],カシーシープス,連
[ka⸢ʤiʔataru],カジアタル,名
[ka⸢ʤiʔiki],カジイキ,名
[ga⸢ʃi⸣ʔiʣu],ガシイズ,名
[ka⸢ʤeː ʔui⸣ naruŋ],カジェーウイナルン,連
[ka⸢ʤeː⸣ ʔu⸢ri⸣ruŋ],カジェーウリルン,連
[ka⸢ʤeːra],カジェーラ,名
[ka⸢ʤiʔoːra],カジオーラ,名
[ka⸢ʃi⸣gaː],カシガー,名
[⸢kaʃi̥kaːsa⸣riŋ],カシカーサリン,他動
[⸢kaʃi̥kaːʃi⸣muni],カシカーシムニ,名
[⸢kaʃi̥kaː⸣suŋ],カシカースン,他動
[ka⸢ʃigaːɸu̥ku⸣ru],カシガーフクル,名
[kḁ⸢ʃi⸣kḁki],カシカキ,名
[kḁ⸢ʃi⸣kḁki],カシカキ,名
[kḁ⸢ʃikḁki⸣jama],カシカキヤマ,名
[⸣kḁʃi kḁ⸢ki⸣ruŋ],カシカキルン,連
[ka⸢ʤi⸣kaʤi],カジカジ,名
[⸢kaʃi̥kaʃimaː⸣suŋ],カシカシマースン,他動
[⸢kaʃi̥⸣ki],カシキ,名
[⸢kaʃi̥kiɸuru⸣mai],カシキフルマイ,名
[⸣kaʤi ⸢goː⸣raːŋ],カジゴーラーン,連
[ka⸢ʤikoː⸣ŋ],カジコーン,形
[ka⸢ʤikoː⸣ŋ],カジコーン,形
[ka⸢ʤigoi],カジゴイ,名
[ka⸢ʃi⸣ʣai],カシザイ,名
[ka⸢ʤi suːŋ],カジスーン,文
[⸣kaʃidaikuni],カシダイクニ,名
[ga⸢ʃi⸣taku],ガシタク,名
[⸣kḁʃi⸣tḁkuŋ],カシタクン,名
[⸢kaʃi̥⸣tira],カシティラ,名
[⸢kaʃi̥⸣tirakamabuku],カシティラカマブク,名
[ga⸢ʃiduʃi],ガシドゥシ,名
[ka⸢ʤituri],カジトゥリ,名
[ka⸢ʤiduru],カジドゥル,名
[ka⸢ʤiduru],カジドゥル,名
[ka⸢ʤiduru],カジドゥル,名
[ka⸢ʤi⸣ turuŋ],カジトゥルン,連
[ka⸢ʤi⸣ turuŋ],カジトゥルン,連
[⸣gaʤituruŋ],ガジトゥルン,他動
[ka⸢ʃi⸣naː],カシナー,名
[ka⸢ʤiniŋgai],カジニンガイ,名
[ka⸢ʤinu⸣ ʔiki],カジヌイキ,連
[ka⸢ʤinu ʔui nuːruŋ],カジヌウイヌールン,文
[ka⸢ʤinu⸣ ʔu⸢ri⸣ruŋ],カジヌウリルン,文
[ka⸢ʤinu⸣ su⸢bu⸣ru],カジヌスブル,連
[ka⸢ʤinu⸣ tiː],カジヌティー,連
[ka⸢ʤinu⸣ niː],カジヌニー,連
[ka⸢ʤinu⸣ miː],カジヌミー,連
[ka⸢ʤinu⸣ miʧi],カジヌミチ,連
[ka⸢ʤibaːbaː],カジバーバー,名
[ka⸢ʤibana],カジバナ,名
[ka⸢ʤibanajaː],カジバナヤー,名
[ka⸢ʤiɸu̥ki],カジフキ,名
[ga⸢ʤiɸu̥kura⸣suŋ],ガジフクラスン,他動
[ga⸢ʤiɸukura⸣suŋ],ガジフクラスン,他動
[ka⸢ʤi⸣ ɸu̥kuŋ],カジフクン,連
[ka⸢ʤibutaraː⸣ma],カジブタラーマ,名
[ka⸢ʤiboː⸣ŋ],カジボーン,形
[ka⸢ʤimaː⸣jaː],カジマーヤー,名
[ka⸢ʤimaː⸣jaː],カジマーヤー,名
[ka⸢ʤimaːjaː⸣nu ⸣joi],カジマーヤーヌヨイ,連
[ka⸢ʤimaːru],カジマール,名
[ka⸢ʤimaːru],カジマール,名
[ka⸢ʤi maːruŋ],カジマールン,連
[ka⸢ʤi maːruŋ],カジマールン,連
[ka⸢ʤimaːruŋ],カジマールン,自動
[ka⸢ʤimaːruŋ],カジマールン,自動
[ka⸢ʤimaki],カジマキ,名
[ka⸢ʤi marasuŋ],カジマラスン,連
[ga⸢ʤi⸣maru],ガジマル,名
[ka⸢ʤimuki],カジムキ,名
[ga⸢ʃi⸣munu],ガシムヌ,名
[ka⸢ʃa⸣raku],カシャラク,自動
[ga⸢ʤijuːnaː],ガジユーナー,連
[⸣kaʤi ⸣jumuŋ],カジユムン,連
[ka⸢ʃi⸣ra],カシラ,名
[kḁ⸢ʃi⸣ra ma⸢rasuŋ],カシラマラスン,連
[ka⸢ʃira⸣muʧi],カシラムチ,名
[⸣kasiŋ],カシン,名
[ka⸢ʃiŋ⸣gai],カシンガイ,名
[⸣kḁʃiŋkiː],カシンキー,名
[ka⸢ʣui⸣ruŋ],カズイルン,他動・自動
[⸣gasuŋ],ガスン,他動
[⸣gaʣuŋ],ガズン,他動
[⸣gaʣuŋ],ガズン,他動
[⸣kḁsoː],カソー,名
[ka⸢ʣoː⸣saŋ],カゾーサン,形
[ka⸢soːraiʃi],カソーライシ,名
[kḁ⸢ta],カタ,名
[kḁ⸢ta],カタ,名
[kḁ⸢ta],カタ,名
[kḁ⸢ta],カタ,名
[kḁ⸢ta],カタ,名
[kḁ⸢ta],カタ,名
[⸣kḁta],カタ,名
[kḁ⸢ta-],カタ,接頭
[kḁ⸢ta-],カタ,接頭
[⸣kḁta],カタ,名
[⸣-gata],ガタ,接尾
[⸣-gata],ガタ,接尾
[kḁ⸢taːkataː⸣ʃi],カターカターシ,副
[kḁ⸢taː⸣ŋ],カターン,形
[kḁ⸢taː⸣ŋ],カターン,形
[kḁ⸢ta⸣ʔami],カタアミ,名
[kḁ⸢ta⸣ʔami],カタアミ,名
[kḁ⸢taʔip⸣poː],カタイッポー,名
[kḁ⸢ta⸣ʔudi],カタウディ,名
[kḁ⸢ta⸣ʔumui],カタウムイ,名
[kḁ⸢ta⸣ʔuja],カタウヤ,名
[kḁ⸢ta⸣ka],カタカ,名
[kḁ⸢ta⸣ka],カタカ,名
[ka⸢da⸣ka],カダカ,名
[kḁ⸢takaʃi],カタカシ,名
[kḁ⸢takaʃi⸣ra],カタカシラ,名
[kḁ⸢ta⸣ka ⸢suŋ],カタカスン,連
[kḁ⸢ta⸣ka ⸢suŋ],カタカスン,連
[kḁ⸢ta⸣kata],カタカタ,名
[ga⸢tagata],ガタガタ,副
[ga⸢tagata],ガタガタ,副
[kḁ⸢ta⸣kadu],カタカドゥ,名
[ka⸢daka⸣naː],カダカナー,連
[kḁ⸢ta⸣ki],カタキ,名
[kḁ⸢ta⸣ki],カタキ,名
[kḁ⸢taki⸣ʔuʧi],カタキウチ,名
[kḁ⸢ta⸣ki̥ʃi],カタキシ,名
[kḁ⸢ta⸣ki̥ʃi],カタキシ,名
[kḁ⸢ta⸣kimu],カタキム,名
[kḁ⸢ta⸣guː],カタグー,名
[kḁ⸢taguːpan⸣ʧi],カタグーパンチ,名
[kḁ⸢taguːman⸣ʦaː],カタグーマンツァー,名
[kḁ⸢takutu⸣muni],カタクトゥムニ,名
[kḁ⸢takuri],カタクリ,名
[kḁ⸢tasaː],カタサー,名
[kḁ⸢ta⸣ʃi̥ki],カタシキ,名
[kḁ⸢ta⸣ʃi̥ki],カタシキ,名
[kḁ⸢ta⸣ ʃi̥⸢ki⸣ruŋ],カタシキルン,連
[kḁ⸢taʤiki⸣ruŋ],カタジキルン,他動
[kḁ⸢taʤi⸣kuŋ],カタジクン,他動
[kḁ⸢ta⸣ʃira],カタシラ,名
[kḁ⸢tasuku⸣gi],カタスクギ,名
[ka⸢ta⸣ su̥kuŋ],カタスクン,連
[kḁ⸢tasudi⸣nuki],カタスディヌキ,名
[kḁ⸢ta⸣suba],カタスバ,名
[⸣kḁta su⸢buiruŋ],カタスブイルン,連
[kḁ⸢tasubu⸣ʃi],カタスブシ,名
[kḁ⸢tasubu⸣ru],カタスブル,名
[kḁ⸢tasuburu⸣jaŋ],カタスブルヤン,名
[kḁ⸢tasoː⸣piki],カタソーピキ,名
[kḁ⸢tasoː⸣piki],カタソーピキ,名
[kḁ⸢tasoːpi̥ki],カタソーピキ,名
[ga⸢tadaː],ガタダー,名
[kḁ⸢taʧi],カタチ,名
[kḁ⸢taʧi],カタチ,名
[kḁ⸢taʧi⸣ ʔaŋ],カタチアン,連
[kḁ⸢taʧeː naː⸣nu],カタチェーナーヌ,連
[kḁ⸢taʧikaːni],カタチカーニ,連
[kḁ⸢taʧitaŋ⸣ga],カタチタンガ,連
[kḁ⸢taʧitaŋ⸣ga],カタチタンガ,連
[kḁ⸢taʧi toː⸣ruŋ],カタチトールン,連
[⸣kḁtaʧini],カタチニ,副
[kḁ⸢tap⸣poː],カタッポー,名
[kḁ⸢ta⸣tiː],カタティー,名
[kḁ⸢ta⸣tiː],カタティー,名
[kḁ⸢ta⸣tida],カタティダ,名
[kḁ⸢ta⸣tima],カタティマ,名
[kḁ⸢ta⸣tima],カタティマ,名
[kḁ⸢ta⸣duː],カタドゥー,名
[kḁ⸢ta⸣tuki],カタトゥキ,名
[kḁ⸢ta⸣tu̥kiŋ],カタトゥキン,副
[kḁ⸢ta⸣toŋ],カタトン,名
[kḁ⸢ta⸣na],カタナ,名
[kḁ⸢ta⸣naʃi],カタナシ,名
[kḁ⸢tana⸣nu ⸣paː],カタナヌパー,連
[kḁ⸢ta⸣niː],カタニー,名
[kḁ⸢ta⸣niː],カタニー,名
[kḁ⸢ta⸣niː],カタニー,名
[ka⸢ta⸣nu ⸣buri],カタヌブリ,連
[kḁ⸢ta⸣paː],カタパー,名
[kḁ⸢tapaːʃiː⸣gu],カタパーシーグ,名
[kḁ⸢tapaːnuki⸣ru],カタパーヌキル,名
[kḁ⸢tapaː⸣munu],カタパームヌ,名
[kḁ⸢tapaː⸣munu],カタパームヌ,名
[kḁ⸢ta⸣baki],カタバキ,名
[kḁ⸢ta⸣bata],カタバタ,名
[kḁ⸢ta⸣pani],カタパニ,名
[kḁ⸢ta⸣paba],カタパバ,名
[kḁ⸢ta⸣bari],カタバリ,名
[kḁ⸢ta⸣bari],カタバリ,名
[kḁ⸢tabaru],カタバル,名
[kḁ⸢tabarugoːnaː],カタバルゴーナー,名
[kḁ⸢ta⸣paŋ],カタパン,名
[kḁ⸢ta⸣paŋ],カタパン,名
[kḁ⸢tapanʦaː⸣ri],カタパンツァーリ,名
[kḁ⸢ta⸣pi̥ki],カタピキ,名
[kḁ⸢tapi̥ki⸣munu],カタピキムヌ,名
[kḁ⸢ta⸣pi̥sa],カタピサ,名
[kḁ⸢ta⸣pi̥sa],カタピサ,名
[kḁ⸢tapisa⸣ʔiʣu],カタピサイズ,名
[kḁ⸢tapisa⸣jaː],カタピサヤー,名
[kḁ⸢ta⸣puː],カタプー,名
[kḁ⸢ta⸣fai],カタふァイ,名
[kḁ⸢ta⸣ɸui],カタフイ,名
[kḁ⸢ta⸣pu̥sa],カタプサ,名
[kḁ⸢tapu̥saː⸣ra],カタプサーラ,副
[kḁ⸢ta⸣ɸu̥ʧi],カタフチ,名
[kḁ⸢taɸuʧeː⸣ra],カタフチェーラ,副
[kḁ⸢taɸu̥ʧipi̥keː⸣ʃi],カタフチピケーシ,名
[kḁ⸢ta⸣buni],カタブニ,名
[kḁ⸢ta⸣buri],カタブリ,名
[kḁ⸢ta⸣ɸuru],カタフル,名
[kḁ⸢ta⸣hoː],カタホー,名
[kḁ⸢tamaː⸣ri ⸣paruŋ],カタマーリパルン,連
[kḁ⸢tamaː⸣ruŋ],カタマールン,自動
[kḁ⸢tama⸣suŋ],カタマスン,他動
[kḁ⸢tamarasuŋ],カタマラスン,他動
[kḁ⸢tamari],カタマリ,名
[kḁ⸢tamaruŋ],カタマルン,自動
[kḁ⸢ta⸣mi],カタミ,名
[kḁ⸢ta⸣mi],カタミ,名
[kḁ⸢ta⸣miː],カタミー,名
[kḁ⸢ta⸣miʧi],カタミチ,名
[kḁ⸢tami⸣tima],カタミティマ,名
[kḁ⸢taminu⸣ sḁ⸢kaʃi̥ki],カタミヌサカシキ,連
[kḁ⸢tami⸣ruŋ],カタミルン,他動
[kḁ⸢tamiruŋ],カタミルン,他動
[kḁ⸢tamiruŋ],カタミルン,他動
[kḁ⸢ta⸣miŋ],カタミン,名
[kḁ⸢ta⸣mutuŋ],カタムトゥン,連
[kḁ⸢tamuraʃi],カタムラシ,名
[kḁ⸢tamura⸣ʃi],カタムラシ,名
[kḁ⸢tamuŋ],カタムン,他動
[kḁ⸢tamuŋ],カタムン,他動
[kḁ⸢ta⸣muŋ],カタムン,他動
[kḁ⸢ta⸣jaŋ],カタヤン,名
[kḁ⸢tan⸣toŋ],カタントン,名
[⸣kḁʧi],カチ,名
[⸢ga⸣ʧi],ガチ,助数
[⸣gaʧiː],ガチー,名
[kḁ⸢ʧiʔiku⸣sa],カチイクサ,名
[ga⸢ʧigaʧi],ガチガチ,副
[⸣kaʧimaki],カチマキ,名
[ga⸢ʧi⸣majaː],ガチマヤー,名
[kḁ⸢ʧi⸣miː],カチミー,名
[ka⸢ʧirikaʣa],カチリカザ,名
[kḁ⸢ʧiri⸣munu],カチリムヌ,名
[ka⸢ʧi⸣ruŋ],カチルン,自動
[kḁ⸢ʦu],カツ,名
[kḁ⸢ʦa],カツァ,名
[kḁ⸢ʦaː⸣suŋ],カツァースン,他動
[kḁ⸢ʦanu⸣miŋ],カツァヌミン,名
[⸢gakka⸣ʃi],ガッカシ,副
[⸢kak⸣ki],カッキ,名
[⸢gak⸣ku],ガック,名
[⸢gak⸣ke],ガッケ,名
[⸢kakkoː],カッコー,名
[⸢gak⸣koː],ガッコー,名
[⸢gak⸣koːʃiːtu],ガッコーシートゥ,名
[⸢gak⸣koːffa],ガッコーッふァ,名
[⸢gak⸣koːdoŋgu],ガッコードング,名
[⸢gakkoː⸣naː],ガッコーナー,名
[⸢gakkoː⸣nu ⸢naː],ガッコーヌナー,連
[⸢gak⸣koːjasumi],ガッコーヤスミ,名
[⸢gassagassa],ガッサガッサ,副
[⸢gassaragasara],ガッサラガサラ,副
[kḁ⸢ʦuʃiŋ],カツシン,名
[kḁ⸢ʦuʃiŋʃiŋka],カツシンシンカ,名
[kḁ⸢ʦudaʃi],カツダシ,名
[gad⸢darugadaru],ガッダルガダル,名
[⸢kat⸣ʦaː],カッツァー,代
[gat⸢ʦuri],ガッツリ,副
[⸢katti],カッティ,名
[⸢gat⸣tiŋ],ガッティン,名
[⸢gat⸣tin ⸢suŋ],ガッティンスン,連
[kḁ⸢ʦuduru],カツドゥル,名
[kḁ⸢ʦunamaʃi],カツナマシ,名
[kḁ⸢ʦunu kimparuŋ],カツヌキンパルン,連
[kḁ⸢ʦunu ʃeː⸣gaː],カツヌシェーガー,連
[ka⸢ʦunu ʣuːbuni],カツヌズーブニ,連
[kḁ⸢ʦunu⸣ su⸢bu⸣ru],カツヌスブル,連
[kḁ⸢ʦunu⸣ su⸢bu⸣ruki̥ʃi],カツヌスブルキシ,連
[kḁ⸢ʦunu⸣ s⸢su⸣paruŋ],カツヌッスパルン,連
[kḁ⸢ʦunu⸣ na⸢ka⸣buni],カツヌナカブニ,連
[kḁ⸢ʦunu⸣ na⸢ka⸣wari],カツヌナカワリ,連
[kḁ⸢ʦunu niːʤiru],カツヌニージル,連
[kḁ⸢ʦunu⸣ bata],カツヌバタ,連
[kḁ⸢ʦunu⸣ ba⸢tagara⸣su],カツヌバタガラス,連
[kḁ⸢ʦunu⸣ ha⸢ra⸣goː],カツヌハラゴー,連
[kḁ⸢tunu⸣ paruŋ],カツヌパルン,連
[ka⸢ʦunu piːma],カツヌピーマ,連
[kḁ⸢ʦunu⸣ çi⸢ʤi⸣gara],カツヌヒジガラ,連
[ka⸢ʦunu mim⸣bani],カツヌミンバニ,連
[⸢kap⸣pa],カッパ,名
[⸢gap⸣pai],ガッパイ,名
[⸢gap⸣paisuburu],ガッパイスブル,名
[kḁ⸢ʦu⸣pigi],カツピギ,名
[kḁ⸢ʦupigiʃiː⸣gu],カツピギシーグ,名
[⸢gaffagaffa],ガッふァガッふァ,副
