noisy_input,clean_katakana_target,phonemic_target
メク,メーク,[⸢meː⸣ku]
ニシュクニンキ,ニジューグニンキ,[⸣niʤuːgu⸢niŋki]
キビ,キビ,[⸣kibi]
パイザイ,パイザイ,[⸢pai⸣ʣai]
ピヌイキフル,ピーヌイキブル,[⸢piː⸣nu ʔi⸢kiburu]
マーラシフチ,マーラシフチ,[⸢maːraʃiɸu̥ʧi]
ダチ,ダーチ,[⸢daːʧi]
ウムン,ウームン,[⸢ʔuː⸣muŋ]
シイムラシ,ジームラシ,[⸢ʤiːmura⸣ʃi]
ドゥルブッター,ドゥルブッター,[du⸢rubuttaː]
サクアー,サクアー,[sa⸢ku⸣ʔaː]
キンヌッス,キンヌッス,[⸢kin⸣nu s⸢su]
ピッキカーキ,ピッキカーキ,[⸢pik⸣kikaːki]
キガイ,キガイ,[ki⸢gai]
ヤーフキジナ,ヤーフキジナ,[⸢jaːɸu̥ki⸣ʤina]
ミヌツス,ミーヌッス,[⸢miːnu⸣ssu]
サイヤリ,サイヤリ,[⸢sai⸣ jari]
トゥンマールン,トゥンマールン,[⸢tummaːruŋ]
シバルカミ,シバルカミ,[⸣ʃibarukami]
キサアテイ,キサーティ,[ki̥saː⸢ti]
サミゴーサー,サミゴーサー,[sa⸢migoːsaː]
ン,ン,[⸢ŋm、n、ŋ、ŋ]
ピタパナ,ピタパナ,[pi̥⸢tapana]
パヤーパヤ,パヤーパヤ,[pa⸢jaːpaja]
パアトゥンタア,パートゥンター,[⸢paːtun⸣taː]
プスケンナー,プスケンナー,[pu̥⸢suken⸣naː]
ピサジン,ピサジン,[pi̥⸢saʤiŋ]
ルガイ,ルガイ,[⸣rugai]
トゥンカラスン,トゥンガラスン,[⸢tuŋgara⸣suŋ]
グマ,グマ,[⸣guma]
フウフフニ,ブーブブニ,[⸣buːbubuni]
ンマムヌ,ンマムヌ,[ʔm⸢ma⸣munu]
ユカトゥ,ユーカドゥ,[⸢juːkadu]
アウコシ,アウコージ,[⸢ʔaukoːdʒi]
プスムシ,プスムシ,[pu̥⸢su⸣muʃi]
ムチマッサスン,ムチマッサスン,[mu⸢ʧimas⸣sa ⸢suŋ]
パリトウシラリル,パリドゥシラリル,[pa⸢ri⸣du ʃi⸢rariru]
バカギ,バカギー,[ba⸢ka⸣giː]
トオフヌスウ,トーフヌスー,[⸢toːɸu⸣nu ⸣suː]
ヤマザア,ヤマザー,[⸣jamaʣaː]
アマリムニ,アマリムニ,[ʔa⸢mari⸣muni]
ンーナムニ,ンーナムニ,[⸢ʔnːnamuni]
ムチヌウルン,ムチヌールン,[mu⸢ʧi nuːruŋ]
ビータルン,ビータルン,[⸣biːtaruŋ]
タカカシ,タカカーシ,[tḁ⸢kakaː⸣ʃi]
ユウリトウシ,ユーリトゥシ,[⸢juːrituʃi]
ソフント,ソーフント,[⸢soːɸun⸣to]
ウシッケラスン,ウシッケーラスン,[ʔu⸢ʃikkeːrasuŋ]
カサナイルン,カサナイルン,[kḁ⸢sanairuŋ]
ユゾナヌ,ユーゾーナーヌ,[⸢juː⸣ʣoː ⸢naː⸣nu]
シティポリマキポリ,シティポーリマキポーリ,[ʃi̥⸢tipoː⸣rimakipoːri]
カロン,カローン,[ka⸢roː⸣ŋ]
ナビシケエ,ナビシケー,[⸣nabiʃi̥keː]
ヤアシキ,ヤーシキ,[⸢jaː⸣ʃi̥ki]
トゥーピーチ,トゥーピーチ,[⸢tuːpiː⸣ʧi]
シラーシラーシ,シラーシラーシ,[ʃiraː⸢ʃiraː⸣ʃi]
ウトウンジムヌ,ウトゥンジムヌ,[ʔu⸢tunʤi⸣munu]
トゥクスン,トゥクスン,[⸣tu̥ku ⸢suŋ]
ッサヌレ,ッサヌレー,[s⸢sanureː]
カマレ,カマレー,[ka⸢ma⸣reː]
ティクバリ,ティクバリ,[ti⸢ku⸣bari]
ソッふィルン,ゾッふィルン,[⸢ʣoffiruŋ]
ナマンダシグトゥ,ナマンダシグトゥ,[na⸢mandaʃigutu]
ウサースン,ウサースン,[ʔu⸢saːsuŋ]
トゥシパダ,トゥシパダ,[tu̥⸢ʃi⸣pada]
トゥジサールン,トゥジサールン,[tu⸢ʤi saːruŋ]
フチタタツクン,フチタタックン,[ɸu̥⸢ʧi⸣ tḁ⸢tak⸣kuŋ]
ヤッカラタキ,ヤーッカラダキ,[⸢jaːk⸣karadaki]
クサ,クーサ,[⸢kuːsa]
ウティクン,ウティクーン,[ʔuti ⸣kuːŋ]
バシキパヤン,バシキパヤーン,[⸢baʃi̥kipajaː⸣ŋ]
タウマスン,タウマスン,[⸢taumasuŋ]
パンダマ,パンダマ,[⸢pan⸣dama]
シルダリ,シルダリ,[ʃi⸢rudari]
ヨイサ,ヨイサー,[⸢joi⸣saː]
アマシムヌ,アマシムヌ,[ʔa⸢maʃi⸣munu]
サカフバリ,サカフバリ,[sa⸢kaɸubari]
ムル,ムル,[mu⸢ru]
パヤリウタ,パヤーリウタ,[pa⸢jaːri⸣ʔuta]
バクヨー,バクヨー,[ba⸢ku⸣joː]
ウヌ,ウヌ,[ʔu⸢nu]
ユーフル,ユーフル,[⸢juː⸣ɸuru]
ネエスン,ネースン,[⸢neːsuŋ]
シティハキ,シティハギ,[ʃi̥⸢tihagi]
ナマンダニビ,ナマンダニビ,[na⸢mandanibi]
パンヌウトゥ,パンヌウトゥ,[⸢pan⸣nu ʔu⸢tu]
ッスティンアウティン,ッスティンアウティン,[s⸢sutiŋʔau⸣tiŋ]
ヌヌヌミン,ヌーヌヌミン,[⸢nuːnunu⸣ miŋ]
ウキズ,ウキズー,[ʔu⸢kiʣuː]
ククルガーリ,ククルガーリ,[ku̥⸢kurugaː⸣ri]
シゥカイムヌ,シゥカイムヌ,[si̥⸢kaimunu]
ピント,ピントー,[⸢pintoː]
パサムン,パサムン,[pḁ⸢sa⸣muŋ]
ウサンダイ,ウサンダイ,[⸣ʔusandai]
リー,リー,[⸣riː]
ナルカ,ナルカー,[⸣narukaː]
キガリムヌ,キガリムヌ,[ki⸢garimunu]
アガカビ,アガカビ,[ʔa⸢gakabi]
タマナー,タマナー,[ta⸢ma⸣naː]
タシゥカリン,タシゥカリン,[⸢tasi̥ka⸣riŋ]
ビーラーン,ビーラーン,[⸢biː⸣raːŋ]
カア,カー,[⸣-kaː]
ツオ,ツォー,[⸣ʦoː]
シカキルン,シガキルン,[ʃi⸢gakiruŋ]
ムニヌコラン,ムニヌゴーラーン,[mu⸢ni⸣nu ⸢goː⸣raːŋ]
パラスン,パラスン,[pa⸢ra⸣suŋ]
ミイマアルン,ミーマールン,[⸢miːmaː⸣ruŋ]
アマクル,アマグル,[ʔa⸢ma⸣guru]
ヨオパイル,ヨーパイル,[⸢joːpai⸣ru]
ミンヌカア,ミンヌカー,[⸢min⸣nukaː]
インパテーン,インパテーン,[⸢ʔimpateː⸣ŋ]
タヌンサ,タヌンザ,[⸣tanunʣa]
ナカウヒ,ナカウビ,[na⸢ka⸣ʔubi]
ミンサー,ミンサー,[⸣minsaː]
クヌヨナ,クヌヨーナ,[⸣kunujoːna]
ビスクライ,ビースクライ,[⸢biːsu̥ku⸣rai]
マアバサ,マーバサ,[⸢maːbasa]
ザツサリ,ザーッサーリ,[⸢ʣaːssaː⸣ri]
パイネエ,パイネー,[⸢pai⸣neː]
ッふァヨン,ッふァヨーン,[f⸢fajoːŋ]
ヌイイトゥ,ヌイイトゥ,[⸢nui⸣ʔitu]
パナダヤア,パナダヤー,[pa⸢nadajaː]
シバン,シバーン,[ʃi⸢baː⸣ŋ]
チャートゥリ,チャートゥリ,[⸢ʧaː⸣turi]
ハッパ,バッパー,[⸢bappaː]
シマムヌ,シマムヌ,[ʃi⸢ma⸣munu]
マイ,マイ,[⸣mai]
カアフクラベエ,カーフクラベー,[⸢kaːɸukura⸣beː]
マダカスン,マダカスン,[ma⸢daka⸣suŋ]
シグトウブラアリ,シグトゥブラーリ,[ʃi⸢gutuburaːri]
シーカラーン,シーカラーン,[⸢ʃiːkaraː⸣ŋ]
ニバルイズ,ニーバルイズ,[⸣niːbaruʔiʣu]
コンギ,コーンギ,[⸢koːŋ⸣gi]
イツチヨ,イッチョー,[⸢ʔit⸣ʧoː]
スクリカイ,スクリカイ,[su̥⸢kuri⸣kai]
バッザラバザラ,バッザラバザラ,[⸢badʣarabaʣara]
ヌスマリルン,ヌスマリルン,[nu⸢sumari⸣ruŋ]
フチスウルン,フチスールン,[ɸu̥⸢ʧi suːru⸣ŋ]
ウマナテイカマナテイ,ウマナディカマナディ,[ʔu⸢manadikama⸣nadi]
ノーリオシキ,ノーリオシキ,[⸢noːriʔoʃi̥⸣ki]
シガアスン,シガースン,[ʃi⸢gaːsuŋ]
ヌ,ヌ,[⸣-nu]
ヌギバイ,ヌギバイ,[nu⸢gibai]
クナシダア,クナシダー,[ku⸢naʃidaː]
サキスクリ,サキスクリ,[sḁ⸢kisu̥ku⸣ri]
ティーヌユリー,ティーヌユリー,[⸢tiːnu⸣juriː]
デジナ,デージナ,[⸢deːʤi⸣na]
クニ,クニ,[ku⸢ni]
シッピラア,シッピラー,[⸢ʃippiraː]
ッスピー,ッスピー,[⸣ssupiː]
テインマクヮー,ティンマグヮー,[⸢timma⸣gwaː]
ハカナイ,バカナイ,[ba⸢ka⸣nai]
ビザリヤン,ビザーリヤン,[bi⸢ʣaːrijaŋ]
ニ,ニー,[⸣niː]
ヌースン,ヌースン,[⸢nuːsuŋ]
イモチビョー,イモチビョー,[ʔi⸢moʧi⸣bjoː]
マアスン,マースン,[⸢maːsuŋ]
ウキナーシタフ,ウキナーシタフ,[ʔu⸢kinaːʃi̥ta⸣ɸu]
ニビタルン,ニビタールン,[ni⸢bittaruŋ]
ガタテイルン,ガータティルン,[⸣gaː tḁ⸢ti⸣ruŋ]
ユコオ,ユコー,[ju⸢koː]
ピッキミ,ピッキミー,[⸢pikki⸣miː]
カラサシツ,カラサーシツ,[ka⸢ra⸣saːʃi̥ʦu]
ユウチヌピイチ,ユーチヌピーチ,[⸢juːʧinu piː⸣ʧi]
スバ,スバ,[⸣suba]
シゥカムン,シゥカムン,[sï̥⸢ka⸣muŋ]
パジン,パジン,[pa⸢ʤiŋ]
ユビ,ユビ,[⸣jubi]
トウームテイヨオ,ドゥームティヨー,[⸢duːmuti⸣joː]
ウイヘマ,ウイベーマ,[ʔui⸢beː⸣ma]
ケエラ,ケーラ,[⸢keː⸣ra]
スヨ,スーヨー,[⸣suːjoː]
ヌスクン,ヌスクン,[⸢nusu̥kuŋ]
ヤマフシル,ヤマフジル,[ja⸢maɸuʤi⸣ru]
トオ,トー,[⸢toː]
ヌーラスン,ヌーラスン,[⸢nuːrasuŋ]
ピキットオルン,ピキットールン,[pi̥⸢kittoːruŋ]
サラ,サラ,[sa⸢ra]
ニイムトゥ,ニームトゥ,[⸢niː⸣mutu]
ジースクン,ジースクン,[⸢ʤiː⸣ su̥kuŋ]
パルトゥアシ,パルトゥアーシ,[pa⸢ru⸣tu ⸢ʔaːʃi]
ティングスル,ティングスル,[⸢tiŋgusu⸣ru]
ヌドゥプトゥキ,ヌドゥプトゥキ,[nu⸢duputu⸣ki]
プラグ,プラグ,[pu⸢ra⸣gu]
ティマッふァ,ティーマッふァ,[⸢tiːmaf⸣fa]
イツアドオフ,イツァドーフ,[⸣ʔiʦadoːɸu]
レエ,レー,[⸢-reː]
ニイカタミ,ニーカタミ,[⸢niːkata⸣mi]
ティダイムヌ,ティダイムヌ,[ti⸢dai⸣munu]
ガッコーヌナー,ガッコーヌナー,[⸢gakkoː⸣nu ⸢naː]
ヌウクトウ,ヌーグトゥ,[⸢nuːgutu]
ティピクン,ティーピクン,[⸣tiː pi̥⸢kuŋ]
サードーサバン,サードーサバン,[⸢saː⸣doːsabaŋ]
ナアレエ,ナーレー,[⸢naːre⸣ː]
ユニドウシ,ユニドゥシ,[ju⸢niduʃi]
アイヤルカア,アイヤルカー,[⸣ʔai ja⸢ru⸣kaː]
ソーパンタリ,ソーパンタリ,[⸢soːpantari]
シキヌムヌ,シキヌムヌ,[ʃi̥⸢ki⸣numunu]
ウヤジマ,ウヤジマ,[ʔu⸢ja⸣ʤima]
ドゥカンガイ,ドゥーカンガイ,[⸣duːkaŋgai]
スミシ,スーミジ,[⸢suː⸣miʤi]
テンフッツ,テンブッツ,[⸢tembutʦu]
キナイ,キナイ,[ki⸢nai]
ピッツン,ピッツン,[⸢pit⸣ʦuŋ]
アラキシ,アラキジ,[ʔa⸢ra⸣kiʤi]
カラパク,カラパク,[ka⸢rapaku]
ティングス,ティングス,[⸢tiŋgu⸣su]
ストウンガ,スートゥンガー,[⸢suːtuŋ⸣gaː]
クウ,クー,[⸣kuː]
スルバン,スルバン,[su⸢rubaŋ]
クサティ,クサティ,[ku̥⸢sati]
ソサナヌ,ゾーサーナーヌ,[⸢ʣoː⸣saː ⸢naː⸣nu]
クヨームン,クヨームン,[ku⸢joː⸣muŋ]
ナブラーッツァン,ナブラーッツァン,[na⸢buraːt⸣ʦaŋ]
カニ,カニ,[ka⸢ni]
パンフンッサアク,パンブンッサーク,[⸢pambunssaː⸣ku]
カジドゥル,カジドゥル,[ka⸢ʤiduru]
カマチ,カマチ,[ka⸢maʧi]
アモリソルン,アモーリソールン,[ʔa⸢moː⸣ri ⸢soː⸣ruŋ]
イロオラ,イローラ,[ʔi⸢roːra]
アバッティムヌ,アバッティムヌ,[ʔa⸢battimunu]
スッカアマ,ズッカーマ,[ʣuk⸢kaː⸣ma]
ヨイユーズ,ヨイユーズ,[⸣joijuːʣu]
テイダヌカタ,ティダヌカタ,[ti⸢da⸣nu kḁ⸢ta]
カキザア,カキザー,[kḁ⸢ki⸣ʣaː]
ドウソン,ドゥーソーン,[⸣duːsoːŋ]
アランカ,アランカー,[ʔa⸢raŋ⸣kaː]
キーヌキシ,キーヌキシ,[⸢kiː⸣nu ⸣kiʃi]
ドウーナイ,ドゥーナイ,[⸢duː⸣nai]
ニンソー,ニンソー,[⸢ninsoː]
ナンハ,ナンバ,[⸢nam⸣ba]
アティンクティンナアヌ,アティンクティンナーヌ,[ʔa⸢tiŋ⸣kutin ⸢naː⸣nu]
アヤトゥリ,アヤトゥリ,[ʔa⸢ja⸣turi]
ニンカイクトゥ,ニンガイグトゥ,[⸢niŋgai⸣gutu]
ヤガンマテー,ヤガンマテー,[⸣jagammateː]
ナマタムヌ,ナマタムヌ,[na⸢matamu⸣nu]
シンシンマア,シンシンマー,[⸢ʃiŋʃim⸣maː]
ツォー,ツォー,[⸢ʦoː]
ピニルン,ピニルン,[pi⸢ni⸣ruŋ]
シキミ,シキミー,[ʃi̥⸢kimiː]
キイタトゥン,キータトゥン,[⸢kiː⸣ tatuŋ]
ナナツク,ナナック,[na⸢nak⸣ku]
アキ,アキ,[⸣ʔaki]
スクラウン,スクラウン,[su̥⸢ku⸣rauŋ]
ナマイイ,ナマイー,[na⸢ma⸣ʔiː]
ドゥルドゥル,ドゥルドゥル,[⸣duruduru]
ニシムレーヌギサザーテー,ニシムレーヌギサザーテー,[ni⸢ʃimureːnu⸣ gisazaːteː]
ダヤアッピイ,ダヤーッピー,[⸢dajaːppiː]
ピキハ,ピキバ,[pi̥⸢ki⸣ba]
トゥムン,トゥムン,[⸣tumuŋ]
ムレエマ,ムレーマ,[mu⸢reːma]
ウズンキルン,ウズンキルン,[ʔu⸢ʣuŋki⸣ruŋ]
ナアフク,ナーブク,[⸢naːbu⸣ku]
アシ,アーシ,[ʔaː⸢ʃi]
シテイヤマンク,シティヤマング,[ʃi̥⸢tijamaŋgu]
ハリクウ,バリクー,[ba⸢rikuː]
キノーキュー,キノーキュー,[⸣kinoːkjuː]
スーム,スーム,[⸢suː mu]
キースクン,キースクン,[⸢kiː⸣su̥kuŋ]
パティムニ,パティムニ,[pa⸢ti⸣muni]
ナサー,ナサー,[⸣nasaː]
ハハ,ハーハー,[⸢haːhaː]
プウルウタ,プールウタ,[⸢puːru⸣ʔuta]
ウヤブラアンツふア,ウヤブラーンッふァ,[⸣ʔuja bu⸢raːnffa]
パカソージ,パカソージ,[pḁ⸢kasoː⸣ʤi]
トウレエスン,トゥレースン,[tu⸢reː⸣suŋ]
タニンガアリ,タニンガーリ,[ta⸢niŋgaː⸣ri]
ヌヌヌピタ,ヌーヌヌピダ,[⸢nuːnunu⸣ pida]
パナビラア,パナビラー,[pa⸢nabiraː]
バカームンケー,バカームンケー,[ba⸢kaː⸣muŋkeː]
サンソオマアルン,サンソーマールン,[⸢san⸣soː ⸢maːruŋ]
ンカイカジ,ンカイカジ,[ʔŋ⸢kaikaʤi]
ヌーヌヌミン,ヌーヌヌミン,[⸢nuːnunu⸣ miŋ]
トウムレエヌイシトオザアテエ,トゥムレーヌイシトーザーテー,[tu⸢mureːnu ʔiʃi̥⸣toːʣaːteː]
テイタリムヌ,ティーダリムヌ,[⸢tiːdari⸣munu]
シトゥギ,シトゥギ,[ʃi̥⸢tu⸣gi]
ウガンヤマ,ウガンヤマ,[⸣ʔugaŋjama]
ユー,ユー,[⸣juː]
サニムニ,サニムニ,[sa⸢nimuni]
キムアリ,キムアーリ,[ki⸢muʔaː⸣ri]
ツサツサ,ッサーッサー,[s⸢saːssaː]
ニブタターナ,ニブタターナ,[ni⸢butataː⸣na]
ドゥーズーワン,ドゥーズーワン,[⸢duːʣuː⸣waŋ]
ウズヌバタ,ウズヌバタ,[ʔu⸢ʣu⸣nu ⸣bata]
ミーニチ,ミーニチ,[⸢miːniʦi]
ニイクミルン,ニークミルン,[⸢niːkumiruŋ]
ムトゥ,ムトゥ,[⸣mutu]
フントオ,フントー,[⸢ɸun⸣toː]
パイ,パイ,[⸣pai]
ヌシ,ヌーシ,[⸢nuː⸣ʃi]
パダカ,パダカ,[pa⸢da⸣ka]
ピイダムチ,ピーダムチ,[⸢piːdamu⸣ʧi]
バタフクリ,バタフクリ,[ba⸢taɸu̥ku⸣ri]
キースールン,キースールン,[⸢kiː suː⸣ruŋ]
アイヤ,アイヤー,[⸣ʔaijaː]
シ,シ,[⸣-ʃi]
ティースクムン,ティースクムン,[⸣tiː su̥⸢ku⸣muŋ]
トゥ,トゥー,[⸢tuː]
シビナガアン,シビナガーン,[ʃi⸢binagaː⸣ŋ]
ブサアラキイ,ブサーラキー,[bu⸢saː⸣rakiː]
ハタマイヤン,バタマイヤン,[⸣bata ⸢mai⸣jaŋ]
アサマシ,アサマシー,[ʔa⸢samaʃiː]
フチスブウ,フチスブー,[ɸu̥⸢ʧisubuː]
チヤーバライ,チャーバライ,[⸢ʧaː⸣barai]
シヒ,シビ,[ʃi⸢bi]
ズムルン,ズームルン,[⸣ʣuː mu⸢ruŋ]
ティーヤニヤン,ティーヤニヤン,[⸢tiːjani⸣jaŋ]
ティナビ,ティーナビ,[⸢tiː⸣nabi]
ナーフダ,ナーフダ,[⸢naːɸuda]
ミイトゥドゥキルン,ミートゥドゥキルン,[⸢miːtuduki⸣ruŋ]
ティーウサーシ,ティーウサーシ,[⸢tiːʔusaː⸣ʃi]
ピキタティルン,ピキタティルン,[pi̥⸢kitatiruŋ]
ングン,ングン,[⸣ʔŋguŋ]
バスバス,バスバス,[⸣basubasu]
マシフニ,マーシフニ,[⸢maːʃi⸣ɸuni]
ツォ,ツォー,[⸢ʦoː]
ゴゴシ,ゴーゴーシ,[⸢goːgoː⸣ʃi]
ニビスグシ,ニビスグシ,[ni⸢bisuguʃi]
ティンシ,ティンシー,[⸢tiŋʃiː]
タタッコオスン,タタッコースン,[tḁ⸢takkoː⸣suŋ]
イズ,イーズ,[⸢ʔiːʣu]
ガチガチ,ガチガチ,[ga⸢ʧigaʧi]
タンビイ,タンビー,[⸢tambiː]
カンプウ,カンプー,[⸢kam⸣puː]
ピーナミ,ピーナミ,[⸢piː⸣nami]
パナジ,パナジー,[pa⸢naʤiː]
イツオーンプス,イツォーンプス,[ʔi⸢ʦoːm⸣pu̥su]
マダスン,マダースン,[ma⸢daːsuŋ]
パニポルン,パニポールン,[pa⸢nipoː⸣ruŋ]
カマイヌキム,カマイヌキム,[ka⸢mai⸣nu ⸣kimu]
ナマカザ,ナマカザ,[na⸢ma⸣kaʣa]
タマタマ,タマタマ,[ta⸢matama]
パ,パー,[⸣paː]
アサユウ,アサユー,[ʔa⸢sa⸣juː]
キザムン,キザムン,[ki⸢ʣamuŋ]
パフン,パーフーン,[⸣paː ⸣ɸuːŋ]
クンゾムチ,クンゾームチ,[⸢kun⸣ʣoːmuʧi]
カキシテイルン,カキシティルン,[kḁ⸢kiʃi̥ti⸣ruŋ]
ユムジラー,ユムジラー,[ju⸢mu⸣ʤiraː]
プスンガリ,プスンガーリ,[pu̥⸢suŋgaːri]
ナーブク,ナーブク,[⸢naːbu⸣ku]
ヨオンバイ,ヨーンバイ,[⸢joːmbai]
コーマッスン,コーマッスン,[⸢koː⸣massuŋ]
ムルン,ムルン,[⸣muruŋ]
ウブジ,ウブジー,[ʔu⸢bu⸣ʤiː]
キユ,ギュー,[⸢gjuː]
シヒトゥム,ジヒトゥム,[ʤi⸢çitumu]
アガヤラビ,アガヤラビ,[ʔa⸢gajarabi]
シーカンティー,シーカンティー,[⸢ʃiːkantiː]
ウブふァイ,ウブふァイ,[ʔu⸢bu⸣fai]
クバン,クバン,[⸣kubaŋ]
グリー,グリー,[⸣guriː]
アギルン,アギルン,[ʔa⸢giruŋ]
ウイプソオキナイヌタカラ,ウイプソーキナイヌタカラ,[⸢ʔui⸣pu̥soː ki⸢nainu⸣ tḁ⸢ka⸣ra]
ヌチズワン,ヌチズーワン,[nu⸢ʧiʣuː⸣waŋ]
ボーダヤー,ボーダヤー,[⸢boː⸣dajaː]
クメエキルン,クメーキルン,[ku⸢meːkiruŋ]
プスパ,プスパー,[pu̥⸢su⸣paː]
ダッふァダッふァ,ダーッふァダーッふァ,[⸢daːffadaːffa]
タタッケールン,タタッケールン,[tḁ⸢takkeː⸣ruŋ]
ンーマガアタ,ンーマガータ,[⸢ʔmːmagaː⸣ta]
ニリ,ニーリ,[⸢niːri]
ユシキ,ユシキ,[⸢juʃi̥⸣ki]
プスヌシトウル,プスヌシトゥル,[pu̥⸢sunuʃi̥turu]
ビント,ビントー,[⸢bintoː]
ウーモーキ,ウーモーキ,[⸢ʔuːmoːki]
トウラリン,トゥラリン,[tu⸢ra⸣riŋ]
タタミヤー,タタミヤー,[tḁ⸢tamijaː]
パプジ,パープジ,[⸣paːpuʤi]
ミー,ミー,[⸣miː]
パーッティ,パーッティ,[paːt⸢ti]
ガンゾオガンゾオシ,ガンゾーガンゾーシ,[gan⸢ʣoːganʣoː⸣ʃi]
トウシフトウハカリ,トゥジブトゥバカリ,[tu⸢ʤibutubaka⸣ri]
パタキヤマ,パタキヤーマ,[pḁ⸢takijaː⸣ma]
ヤクメ,ヤクメー,[ja⸢ku⸣meː]
シラシ,シラシ,[ʃi⸢raʃi]
カザダカン,カザダカーン,[ka⸢ʣadakaː⸣ŋ]
フチカイシ,フチガイシ,[ɸu̥ʧigaiʃi]
ホヌ,ホーヌ,[⸢hoː⸣nu]
ウツケスン,ウッケースン,[⸢ʔukkeː⸣suŋ]
グハイロー,グハイロー,[⸣guhairoː]
ウヒ,ウビ,[⸣ʔubi]
ドゥービーヨーン,ドゥービーヨーン,[⸣duː ⸢biː⸣joːŋ]
ウタスン,ウタスン,[ʔu⸢ta⸣suŋ]
ツサリムヌ,ッサリムヌ,[⸣ssarimunu]
ピックムン,ピックムン,[⸢pikkumuŋ]
ニヌブーヤー,ニヌブーヤー,[ni⸢nubuːjaː]
バタククチ,バタククチ,[ba⸢takuku⸣ʧi]
アギマスン,アギマースン,[ʔa⸢gimaːsuŋ]
アンカマカフン,アンガマカブン,[⸢ʔaŋ⸣gama ⸣kabuŋ]
ニー,ニー,[⸣niː]
ムヌミザン,ムヌミーザン,[mu⸢numiː⸣ʣaŋ]
シンザ,シンザ,[⸢ʃin⸣ʣa]
ピキナ,ピキナー,[pi̥⸢kinaː]
ヌー,ヌー,[nu⸢ː]
タヒ,タビ,[ta⸢bi]
カヌパタ,カーヌパタ,[⸢kaːnupata]
カバムニ,カバムニ,[ka⸢bamuni]
カルン,ガルン,[ga⸢ruŋ]
ナリカルン,ナリカールン,[na⸢rikaː⸣ruŋ]
ピンソオムヌ,ピンソームヌ,[⸢pinsoː⸣munu]
アブジェーマ,アブジェーマ,[ʔa⸢buʤeː⸣ma]
ウイプス,ウイプス,[⸢ʔui⸣pu̥su]
クダキムヌ,クダキムヌ,[ku⸢daki⸣munu]
ナアカウ,ナーカウ,[⸢naː⸣kau]
ガチマヤア,ガチマヤー,[ga⸢ʧi⸣majaː]
ピダムン,ピダムン,[pi⸢da⸣muŋ]
キムンガアリ,キムンガーリ,[ki⸢muŋgaː⸣ri]
ミーガーラ,ミーガーラ,[⸢miːgaː⸣ra]
シルダミ,シルダミ,[ʃi⸢rudami]
アズニ,アズニ,[⸣ʔaʣuni]
スーマルン,スーマルン,[⸢suː⸣maruŋ]
ニールン,ニールン,[⸢niːruŋ]
シテイハキ,シティハギ,[ʃi̥⸢tihagi]
シンクラマ,シンクラーマ,[ʃiŋku⸢raː⸣ma]
スウチズウ,スーチズー,[⸢suː⸣ʧiʣuː]
ヤリカコ,ヤリカコー,[ja⸢ri⸣kakoː]
アンシキイトゥ,アンシキイトゥ,[⸢ʔaŋʃi̥ki⸣ʔitu]
スーマカル,スーマカル,[⸢suːmaka⸣ru]
シニミイ,シニミー,[ʃi⸢nimiː]
トゥバスン,トゥバスン,[tu⸢basuŋ]
パナジイ,パナジー,[pa⸢naʤiː]
カラマアリ,カラマーリ,[ka⸢ramaːri]
カタプウ,カタプー,[kḁ⸢ta⸣puː]
ウムイナスン,ウムイナスン,[ʔu⸢muina⸣suŋ]
タタミウムテイ,タタミウムティ,[tḁ⸢tamiʔumuti]
ウテイサカリ,ウティサカリ,[⸣ʔutisakari]
ミーピッキジン,ミーピッキジン,[⸢miːpikki⸣ʤiŋ]
イナカ,イーナカ,[⸢ʔiː naka]
サニンケールン,サニンケールン,[sa⸢niŋkeːruŋ]
キムバムトゥン,キムバムトゥン,[ki⸢mu⸣ba ⸣mutuŋ]
ナビカマ,ナビカマ,[⸣nabikama]
フニヌユ,フニヌユー,[ɸu⸢ni⸣nu ⸣juː]
ピイソオ,ピーソー,[⸢piː⸣soː]
アチブツタア,アチブッター,[ʔa⸢ʧibuttaː]
パヤシニ,パヤシニ,[pa⸢ja⸣ʃini]
ミシイミシ,ミシーミシ,[miʃiː⸢miʃi]
ミイダング,ミーダング,[⸢miːdaŋgu]
ナカデイ,ナカディ,[na⸢ka⸣di]
パスコーン,パスコーン,[⸢pasu̥⸣koːŋ]
ナイシマー,ナイシマー,[⸣naiʃimaː]
ヤアクマリ,ヤーグマリ,[⸢jaːguma⸣ri]
ツふアイツクル,ッふァイックル,[f⸢faikkuru]
マイダーラ,マイダーラ,[⸢maidaːra]
ニヨープトゥキ,ニヨープトゥキ,[nioːpu̥tuki]
タタマジレタマ,タータマジレータマ,[⸢taːtama⸣ ʤireː⸢tama]
サンボー,サンボー,[⸣samboː]
アミカジ,アミカジ,[ʔa⸢mi⸣kaʤi]
ケエルン,ケールン,[⸢keː⸣ruŋ]
マユ,マユ,[ma⸢ju]
シムラシ,シームラシ,[⸢ʃiːmuraʃi]
ユネンテイダ,ユネンティダ,[⸣junentida]
マアル,マール,[⸢maː⸣ru]
ピラキカジ,ピラキカジ,[pi⸢raki⸣kaʤi]
タデーマ,タデーマ,[ta⸢deː⸣ma]
マルウマルウシ,マルーマルーシ,[ma⸢ruːmaruː⸣ʃi]
テイツシヤムン,ティーッシヤムン,[⸢tiː⸣ ʃʃi ⸣jamuŋ]
キンヌキシ,キンヌキシ,[⸢kinnu⸣ki̥ʃi]
